order_id,order_date,sku,color,size,unit_price,quantity,revenue,age,discount,customer_rating,stock,category,category_id,category_avg_price,category_total_revenue,category_popularity,holiday_type
5,2022-08-31 00:34:00,799,Dark Blue,XL,278,8,2224,26,15,4,279,T-Shirts,5,277,707980,99,No Holiday
247,2022-08-26 16:08:00,799,Dark Blue,L,269,1,269,50,10,1,199,Jackets,1,273,633186,90,No Holiday
78,2022-09-17 08:21:00,799,Dark Blue,M,288,4,1152,52,20,3,246,Sweaters,4,277,553327,79,No Holiday
271,2022-08-30 05:47:00,799,Dark Blue,XL,278,8,2224,44,10,2,434,Jackets,1,273,633186,90,No Holiday
173,2022-07-07 05:54:00,708,Dark Blue,2XL,296,4,1184,22,10,3,485,Sweaters,4,277,553327,79,No Holiday
70,2022-09-16 21:40:00,799,Dark Blue,M,288,8,2304,45,15,2,201,Jackets,1,273,633186,90,No Holiday
27,2022-06-18 19:51:00,708,Dark Blue,XL,278,3,834,55,15,3,70,Jackets,1,273,633186,90,No Holiday
70,2022-06-06 09:12:00,708,Dark Blue,XL,278,10,2780,44,10,4,51,Jeans,2,274,559255,83,No Holiday
3,2022-06-10 19:59:00,799,Dark Blue,XL,264,8,2112,48,0,4,408,Jackets,1,273,633186,90,Black Friday
122,2022-09-03 15:14:00,708,Dark Blue,2XL,298,7,2086,32,20,1,52,Jackets,1,273,633186,90,No Holiday
60,2022-09-14 05:16:00,799,Dark Blue,XL,275,3,825,49,15,1,473,T-Shirts,5,277,707980,99,No Holiday
103,2022-09-22 23:11:00,799,Dark Blue,XL,275,6,1650,25,0,4,79,Jackets,1,273,633186,90,No Holiday
254,2022-08-27 22:25:00,799,Dark Blue,L,288,3,864,28,10,2,248,Dresses,0,273,563441,84,No Holiday
114,2022-07-20 18:57:00,799,Dark Blue,XL,288,10,2880,21,20,5,146,T-Shirts,5,277,707980,99,No Holiday
37,2022-08-09 16:27:00,799,Dark Blue,XL,266,7,1862,44,15,4,199,Jackets,1,273,633186,90,No Holiday
28,2022-06-18 20:13:00,708,Dark Blue,3XL,278,8,2224,18,0,5,204,Jeans,2,274,559255,83,New Year
230,2022-08-20 18:19:00,799,Dark Blue,XL,288,8,2304,41,5,4,201,Jackets,1,273,633186,90,No Holiday
263,2022-08-29 19:41:00,708,Dark Blue,3XL,298,9,2682,58,20,2,484,Jackets,1,273,633186,90,No Holiday
114,2022-09-27 05:15:00,708,Dark Blue,2XL,298,2,596,64,20,2,401,Dresses,0,273,563441,84,No Holiday
69,2022-06-06 03:56:00,77,B,3XL,258,9,2322,20,0,5,461,T-Shirts,5,277,707980,99,No Holiday
202,2022-08-15 15:41:00,799,Dark Blue,L,266,4,1064,60,20,4,397,Sweaters,4,277,553327,79,No Holiday
171,2022-07-07 18:26:00,799,Dark Blue,L,269,4,1076,22,15,4,149,T-Shirts,5,277,707980,99,No Holiday
130,2022-09-30 23:25:00,799,Dark Blue,L,278,3,834,41,0,1,254,Jackets,1,273,633186,90,New Year
132,2022-09-04 01:03:00,799,Dark Blue,L,288,6,1728,36,15,4,413,Sweaters,4,277,553327,79,No Holiday
105,2022-07-18 23:06:00,708,Dark Blue,XL,298,3,894,58,10,5,253,Dresses,0,273,563441,84,No Holiday
273,2022-08-30 08:58:00,799,Dark Blue,L,278,5,1390,49,5,3,238,Sweaters,4,277,553327,79,No Holiday
56,2022-09-12 20:19:00,799,Dark Blue,XL,275,2,550,47,5,2,144,Dresses,0,273,563441,84,EID
273,2022-08-30 08:58:00,799,Dark Blue,L,278,9,2502,49,5,3,238,Sweaters,4,277,553327,79,Summer Sale
134,2022-09-04 14:51:00,3799,Grey Wash,XL,268,7,1876,43,20,1,349,Dresses,0,273,563441,84,No Holiday
125,2022-07-24 10:45:00,708,Dark Blue,2XL,298,8,2384,52,20,2,223,Jeans,2,274,559255,83,No Holiday
221,2022-08-17 07:25:00,89,Dark Blue,2XL,258,1,258,35,0,1,135,T-Shirts,5,277,707980,99,No Holiday
1,2022-06-01 16:05:00,708,Dark Blue,2XL,298,5,1490,60,10,3,490,T-Shirts,5,277,707980,99,No Holiday
81,2022-09-18 08:12:00,239,Yellow,3XL,278,1,278,28,20,1,168,Sweaters,4,277,553327,79,New Year
126,2022-09-30 00:00:00,799,Dark Blue,XL,278,1,278,44,10,3,263,Sweaters,4,277,553327,79,No Holiday
77,2022-07-10 12:05:00,1719,Thin Blue,One Size,268,6,1608,39,10,1,170,Jeans,2,274,559255,83,No Holiday
88,2022-07-13 06:10:00,799,Dark Blue,L,288,10,2880,32,5,3,312,Sweaters,4,277,553327,79,No Holiday
228,2022-08-20 11:49:00,799,Dark Blue,XL,288,8,2304,32,10,4,467,Sweaters,4,277,553327,79,No Holiday
152,2022-07-30 16:03:00,799,Dark Blue,XL,266,9,2394,60,10,4,381,T-Shirts,5,277,707980,99,No Holiday
164,2022-09-09 16:30:00,708,Dark Blue,2XL,278,9,2502,26,10,4,331,T-Shirts,5,277,707980,99,No Holiday
129,2022-07-25 22:23:00,127,Light Wash,One Size,238,9,2142,60,15,2,289,T-Shirts,5,277,707980,99,No Holiday
102,2022-09-22 21:28:00,799,Dark Blue,XL,275,3,825,58,15,5,86,Jackets,1,273,633186,90,No Holiday
50,2022-09-11 01:34:00,708,Dark Blue,3XL,278,7,1946,48,10,5,360,T-Shirts,5,277,707980,99,No Holiday
32,2022-08-08 08:36:00,708,Dark Blue,3XL,298,4,1192,28,10,1,445,Sweaters,4,277,553327,79,No Holiday
20,2022-08-07 10:53:00,799,Dark Blue,XL,266,1,266,25,0,4,248,Dresses,0,273,563441,84,No Holiday
266,2022-08-03 21:27:00,799,Dark Blue,L,266,7,1862,38,20,3,251,T-Shirts,5,277,707980,99,No Holiday
212,2022-08-16 23:53:00,799,Dark Blue,L,266,9,2394,47,5,2,161,T-Shirts,5,277,707980,99,No Holiday
16,2022-06-14 22:31:00,708,Dark Blue,XL,278,10,2780,30,5,3,222,Sweaters,4,277,553327,79,No Holiday
113,2022-07-02 04:16:00,708,Dark Blue,3XL,298,8,2384,57,10,5,53,Sweaters,4,277,553327,79,No Holiday
145,2022-07-03 15:41:00,708,Dark Blue,XL,298,8,2384,60,0,1,493,Dresses,0,273,563441,84,No Holiday
20,2022-08-07 10:53:00,799,Dark Blue,XL,266,7,1862,25,0,4,248,Dresses,0,273,563441,84,No Holiday
129,2022-07-25 22:23:00,127,Light Wash,One Size,238,5,1190,60,15,2,289,T-Shirts,5,277,707980,99,No Holiday
185,2022-08-11 21:03:00,799,Dark Blue,L,266,4,1064,59,20,3,276,Jeans,2,274,559255,83,No Holiday
61,2022-09-14 07:03:00,708,Dark Blue,XL,287,5,1435,48,10,4,358,T-Shirts,5,277,707980,99,No Holiday
53,2022-06-03 11:52:00,799,Dark Blue,L,288,8,2304,36,5,2,262,Sweaters,4,277,553327,79,No Holiday
76,2022-09-17 21:17:00,89,Light Blue,3XL,258,2,516,50,15,4,269,Jackets,1,273,633186,90,New Year
183,2022-08-10 21:08:00,3799,Grey Wash,XL,268,8,2144,41,0,5,401,Dresses,0,273,563441,84,No Holiday
166,2022-07-07 11:29:00,799,Dark Blue,XL,269,7,1883,47,15,5,407,Dresses,0,273,563441,84,No Holiday
161,2022-09-09 15:28:00,799,Dark Blue,XL,265,8,2120,18,10,1,212,Dresses,0,273,563441,84,No Holiday
197,2022-08-14 13:30:00,799,Dark Blue,L,266,1,266,50,0,3,281,Jeans,2,274,559255,83,No Holiday
16,2022-08-06 00:37:00,799,Dark Blue,M,266,2,532,61,10,1,85,Jeans,2,274,559255,83,No Holiday
134,2022-09-04 14:51:00,79,Light Blue,L,315,6,1890,51,10,5,314,Dresses,0,273,563441,84,No Holiday
204,2022-08-15 19:15:00,239,Rust,3XL,245,5,1225,30,15,2,211,Jackets,1,273,633186,90,No Holiday
76,2022-07-10 10:24:00,89,Dark Blue,2XL,258,1,258,46,20,1,340,Dresses,0,273,563441,84,No Holiday
49,2022-09-10 06:09:00,708,Dark Blue,4XL,278,7,1946,64,20,4,78,Dresses,0,273,563441,84,Christmas
70,2022-09-16 21:40:00,799,Dark Blue,M,288,10,2880,45,15,2,201,Jackets,1,273,633186,90,No Holiday
140,2022-09-05 21:36:00,799,Dark Blue,M,288,7,2016,28,5,4,106,Jackets,1,273,633186,90,Christmas
73,2022-06-09 20:16:00,2499,Mid Wash,XL,249,6,1494,49,15,3,426,T-Shirts,5,277,707980,99,No Holiday
137,2022-07-27 16:13:00,799,Dark Blue,XL,266,10,2660,38,0,2,305,Jeans,2,274,559255,83,No Holiday
131,2022-09-30 08:17:00,799,Dark Blue,M,278,6,1668,27,5,4,432,Jackets,1,273,633186,90,No Holiday
18,2022-06-15 13:36:00,77,A,3XL,288,10,2880,40,5,1,309,T-Shirts,5,277,707980,99,No Holiday
248,2022-08-26 16:47:00,799,Dark Blue,M,269,10,2690,58,10,1,118,Jackets,1,273,633186,90,No Holiday
158,2022-07-31 18:25:00,628,Blue,XL,268,6,1608,46,10,5,416,Sweaters,4,277,553327,79,Winter Sale
152,2022-07-30 16:03:00,799,Dark Blue,XL,266,8,2128,60,10,4,381,T-Shirts,5,277,707980,99,Black Friday
66,2022-06-06 21:15:00,708,Dark Blue,2XL,278,8,2224,34,5,3,262,Jeans,2,274,559255,83,New Year
123,2022-07-23 17:25:00,799,Dark Blue,L,266,3,798,29,10,5,230,Jackets,1,273,633186,90,No Holiday
69,2022-06-06 03:56:00,77,B,3XL,258,4,1032,20,0,5,461,T-Shirts,5,277,707980,99,No Holiday
26,2022-06-18 11:31:00,708,Dark Blue,3XL,278,4,1112,60,10,1,184,Jackets,1,273,633186,90,EID
203,2022-08-15 17:51:00,799,Dark Blue,XL,266,6,1596,39,15,4,332,Jackets,1,273,633186,90,No Holiday
33,2022-08-08 08:50:00,799,Dark Blue,L,266,7,1862,34,15,1,139,Sweaters,4,277,553327,79,No Holiday
52,2022-06-28 19:31:00,708,Dark Blue,2XL,298,9,2682,62,10,1,391,Sweaters,4,277,553327,79,No Holiday
265,2022-08-03 20:42:00,3799,Grey Wash,M,268,1,268,48,20,1,461,T-Shirts,5,277,707980,99,Christmas
46,2022-06-25 20:47:00,799,Dark Blue,M,288,8,2304,63,0,5,323,T-Shirts,5,277,707980,99,No Holiday
7,2022-06-11 19:54:00,708,Dark Blue,3XL,278,6,1668,42,5,4,402,Jeans,2,274,559255,83,No Holiday
115,2022-07-21 17:56:00,77,C,3XL,239,5,1195,31,10,1,412,T-Shirts,5,277,707980,99,No Holiday
189,2022-08-12 13:38:00,799,Dark Blue,M,266,6,1596,28,20,4,152,Dresses,0,273,563441,84,No Holiday
209,2022-08-16 13:51:00,799,Dark Blue,M,266,2,532,20,15,5,117,Jeans,2,274,559255,83,No Holiday
10,2022-08-31 08:42:00,708,Dark Blue,2XL,298,1,298,59,15,3,440,Dresses,0,273,563441,84,New Year
44,2022-06-24 06:47:00,89,Dark Blue,3XL,258,10,2580,31,0,4,493,Sweaters,4,277,553327,79,No Holiday
51,2022-06-28 14:41:00,799,Dark Blue,M,288,9,2592,52,15,2,244,Jeans,2,274,559255,83,No Holiday
159,2022-09-09 13:08:00,708,Dark Blue,3XL,278,4,1112,22,5,4,375,Jackets,1,273,633186,90,No Holiday
22,2022-06-15 07:30:00,799,Dark Blue,XL,264,5,1320,40,10,4,270,T-Shirts,5,277,707980,99,No Holiday
36,2022-06-21 07:00:00,799,Dark Blue,L,264,5,1320,59,5,2,319,T-Shirts,5,277,707980,99,No Holiday
272,2022-08-30 07:10:00,799,Dark Blue,L,278,4,1112,35,10,5,352,T-Shirts,5,277,707980,99,No Holiday
269,2022-08-03 06:14:00,799,Dark Blue,XL,266,7,1862,54,0,4,137,Jeans,2,274,559255,83,No Holiday
264,2022-08-29 09:58:00,9699,Dark Blue,One Size,288,9,2592,61,5,3,166,Jeans,2,274,559255,83,No Holiday
19,2022-06-15 20:42:00,799,Dark Blue,XL,264,3,792,33,5,5,123,Sweaters,4,277,553327,79,No Holiday
32,2022-06-02 12:57:00,799,Dark Blue,XL,288,7,2016,26,0,2,262,Jeans,2,274,559255,83,No Holiday
126,2022-07-24 14:51:00,799,Dark Blue,M,266,2,532,61,15,2,372,Dresses,0,273,563441,84,No Holiday
69,2022-06-06 03:56:00,77,D,3XL,258,10,2580,19,0,5,271,Jackets,1,273,633186,90,No Holiday
217,2022-08-17 18:10:00,89,Light Blue,3XL,258,1,258,42,10,3,386,Jeans,2,274,559255,83,No Holiday
81,2022-09-18 08:12:00,239,Yellow,3XL,278,8,2224,28,20,1,168,Sweaters,4,277,553327,79,No Holiday
107,2022-07-19 14:18:00,799,Dark Blue,XL,288,5,1440,62,15,1,288,Dresses,0,273,563441,84,No Holiday
2,2022-08-30 09:42:00,89,Dark Blue,3XL,245,2,490,34,15,2,380,T-Shirts,5,277,707980,99,No Holiday
220,2022-08-17 06:29:00,799,Dark Blue,XL,266,4,1064,25,0,1,400,Jackets,1,273,633186,90,No Holiday
27,2022-06-18 19:51:00,708,Dark Blue,XL,278,8,2224,55,15,3,70,Jackets,1,273,633186,90,No Holiday
10,2022-08-31 08:42:00,708,Dark Blue,2XL,298,5,1490,59,15,3,440,Dresses,0,273,563441,84,No Holiday
32,2022-06-02 12:57:00,799,Dark Blue,XL,288,5,1440,26,0,2,262,Jeans,2,274,559255,83,No Holiday
61,2022-09-14 07:03:00,708,Dark Blue,XL,287,10,2870,48,10,4,358,T-Shirts,5,277,707980,99,No Holiday
25,2022-08-08 15:11:00,239,Brown,3XL,239,8,1912,63,0,4,364,Sweaters,4,277,553327,79,No Holiday
1,2022-06-01 16:05:00,89,Dark Blue,2XL,258,3,774,38,10,4,71,Jeans,2,274,559255,83,No Holiday
134,2022-09-04 14:51:00,218,Black,M,318,5,1590,63,20,1,405,Sweaters,4,277,553327,79,No Holiday
102,2022-07-17 18:47:00,799,Dark Blue,XL,288,10,2880,53,0,1,242,Sweaters,4,277,553327,79,No Holiday
95,2022-07-15 07:54:00,1719,Gray Stripes,One Size,255,4,1020,38,5,3,494,Jackets,1,273,633186,90,No Holiday
59,2022-06-06 00:06:00,799,Dark Blue,XL,264,1,264,20,15,5,333,Jeans,2,274,559255,83,No Holiday
35,2022-06-21 10:44:00,708,Dark Blue,XL,278,8,2224,49,15,5,60,Dresses,0,273,563441,84,No Holiday
27,2022-06-18 19:51:00,708,Dark Blue,XL,278,2,556,55,15,3,70,Jackets,1,273,633186,90,No Holiday
245,2022-08-26 14:36:00,799,Dark Blue,L,269,9,2421,28,0,3,355,Jackets,1,273,633186,90,No Holiday
71,2022-09-16 09:31:00,799,Dark Blue,L,288,3,864,55,15,5,76,Dresses,0,273,563441,84,No Holiday
43,2022-06-24 16:43:00,708,Dark Blue,3XL,278,1,278,23,20,5,495,Sweaters,4,277,553327,79,No Holiday
98,2022-07-16 20:40:00,799,Dark Blue,XL,288,5,1440,44,0,2,386,Jackets,1,273,633186,90,No Holiday
105,2022-07-18 23:06:00,708,Dark Blue,XL,298,10,2980,58,10,5,253,Dresses,0,273,563441,84,No Holiday
83,2022-09-19 10:05:00,799,Dark Blue,M,288,8,2304,42,20,2,436,Jackets,1,273,633186,90,No Holiday
69,2022-06-06 03:56:00,77,D,3XL,258,1,258,19,0,5,271,Jackets,1,273,633186,90,No Holiday
59,2022-09-13 13:06:00,799,Dark Blue,L,275,10,2750,24,10,3,431,Jeans,2,274,559255,83,Summer Sale
247,2022-08-26 16:08:00,799,Dark Blue,L,269,2,538,50,10,1,199,Jackets,1,273,633186,90,No Holiday
149,2022-09-08 15:28:00,708,Dark Blue,3XL,298,8,2384,23,0,4,320,Jackets,1,273,633186,90,No Holiday
146,2022-07-03 21:14:00,2499,Dark Wash,M,249,2,498,56,10,4,109,Jeans,2,274,559255,83,No Holiday
171,2022-09-09 06:27:00,799,Dark Blue,M,265,6,1590,31,15,4,108,T-Shirts,5,277,707980,99,No Holiday
21,2022-06-15 05:50:00,799,Dark Blue,XL,264,1,264,52,10,3,436,T-Shirts,5,277,707980,99,No Holiday
123,2022-07-23 17:25:00,799,Dark Blue,L,266,2,532,29,10,5,230,Jackets,1,273,633186,90,No Holiday
80,2022-09-18 08:01:00,708,Dark Blue,2XL,298,9,2682,57,15,4,497,T-Shirts,5,277,707980,99,No Holiday
194,2022-08-14 01:07:00,799,Dark Blue,L,266,1,266,47,15,4,430,Sweaters,4,277,553327,79,No Holiday
26,2022-08-08 15:14:00,799,Dark Blue,M,266,3,798,42,20,3,111,T-Shirts,5,277,707980,99,No Holiday
173,2022-09-09 07:22:00,799,Dark Blue,M,265,4,1060,37,10,2,90,T-Shirts,5,277,707980,99,No Holiday
129,2022-09-30 20:56:00,799,Dark Blue,M,278,2,556,20,0,2,301,T-Shirts,5,277,707980,99,Winter Sale
148,2022-09-08 15:20:00,799,Dark Blue,M,288,4,1152,59,5,5,387,Jeans,2,274,559255,83,No Holiday
152,2022-09-08 19:12:00,799,Dark Blue,L,288,1,288,38,15,2,53,Jeans,2,274,559255,83,No Holiday
94,2022-07-15 23:35:00,79,Light Blue,4XL,315,8,2520,18,15,2,210,Sweaters,4,277,553327,79,No Holiday
41,2022-09-10 10:41:00,708,Dark Blue,4XL,278,7,1946,53,5,3,52,Jeans,2,274,559255,83,No Holiday
145,2022-07-03 15:41:00,708,Dark Blue,XL,298,6,1788,60,0,1,493,Dresses,0,273,563441,84,No Holiday
14,2022-08-05 17:11:00,708,Dark Blue,3XL,298,9,2682,30,20,2,59,Jackets,1,273,633186,90,No Holiday
25,2022-08-08 15:11:00,239,Skintone,3XL,278,9,2502,27,20,4,438,T-Shirts,5,277,707980,99,No Holiday
61,2022-06-06 01:37:00,708,Dark Blue,3XL,278,6,1668,62,20,2,226,Sweaters,4,277,553327,79,No Holiday
53,2022-09-11 08:29:00,799,Dark Blue,M,265,6,1590,24,10,5,137,T-Shirts,5,277,707980,99,No Holiday
66,2022-06-06 21:15:00,708,Dark Blue,2XL,278,5,1390,34,5,3,262,Jeans,2,274,559255,83,No Holiday
105,2022-09-23 09:44:00,799,Dark Blue,L,275,6,1650,60,15,3,221,Jackets,1,273,633186,90,No Holiday
204,2022-08-15 19:15:00,239,Mustard,3XL,245,1,245,41,0,2,468,Dresses,0,273,563441,84,No Holiday
153,2022-09-08 19:32:00,799,Dark Blue,M,288,1,288,48,0,2,453,Jeans,2,274,559255,83,Black Friday
163,2022-09-09 15:45:00,799,Dark Blue,L,265,10,2650,34,0,4,111,Jackets,1,273,633186,90,No Holiday
97,2022-09-21 16:28:00,799,Dark Blue,M,288,2,576,33,20,1,393,Jackets,1,273,633186,90,No Holiday
78,2022-09-17 08:21:00,799,Dark Blue,M,288,1,288,52,20,3,246,Sweaters,4,277,553327,79,No Holiday
19,2022-08-06 23:07:00,708,Dark Blue,2XL,298,10,2980,53,15,5,228,Sweaters,4,277,553327,79,No Holiday
76,2022-09-17 21:17:00,89,Light Blue,3XL,258,1,258,50,15,4,269,Jackets,1,273,633186,90,No Holiday
167,2022-07-07 11:56:00,77,B,3XL,239,4,956,52,20,2,255,Dresses,0,273,563441,84,No Holiday
236,2022-08-23 19:54:00,89,Dark Blue,2XL,258,2,516,26,0,3,478,Jackets,1,273,633186,90,EID
48,2022-06-26 21:58:00,127,Mid Wash,One Size,238,6,1428,59,5,5,414,T-Shirts,5,277,707980,99,Winter Sale
77,2022-07-10 12:05:00,1719,Thin Blue,One Size,268,6,1608,39,10,1,170,Jeans,2,274,559255,83,Summer Sale
89,2022-09-02 11:31:00,708,Dark Blue,2XL,298,8,2384,36,10,3,437,Jackets,1,273,633186,90,No Holiday
69,2022-09-16 20:39:00,799,Dark Blue,M,288,1,288,25,0,1,228,Sweaters,4,277,553327,79,No Holiday
98,2022-07-16 20:40:00,799,Dark Blue,XL,288,3,864,44,0,2,386,Jackets,1,273,633186,90,No Holiday
270,2022-08-30 20:36:00,799,Dark Blue,M,278,9,2502,26,20,4,115,Jackets,1,273,633186,90,No Holiday
18,2022-06-15 13:36:00,77,A,3XL,288,1,288,40,5,1,309,T-Shirts,5,277,707980,99,No Holiday
84,2022-09-19 10:46:00,799,Dark Blue,L,288,5,1440,52,15,2,121,Jackets,1,273,633186,90,No Holiday
21,2022-08-07 22:31:00,1719,Thin Blue,One Size,249,6,1494,60,15,3,420,T-Shirts,5,277,707980,99,No Holiday
167,2022-07-07 11:56:00,77,B,3XL,239,2,478,52,20,2,255,Dresses,0,273,563441,84,No Holiday
160,2022-09-09 14:38:00,708,Dark Blue,4XL,278,4,1112,57,15,1,219,Sweaters,4,277,553327,79,No Holiday
91,2022-09-02 13:42:00,799,Dark Blue,XL,288,9,2592,63,10,5,430,Dresses,0,273,563441,84,No Holiday
47,2022-06-26 00:33:00,9699,Light Blue,One Size,288,6,1728,41,0,5,300,Sweaters,4,277,553327,79,No Holiday
67,2022-06-06 21:42:00,897,Mid Wash,L,268,1,268,24,20,3,179,T-Shirts,5,277,707980,99,No Holiday
204,2022-08-15 19:15:00,339,Green,3XL,254,4,1016,52,15,3,441,Jackets,1,273,633186,90,No Holiday
108,2022-07-19 19:20:00,799,Dark Blue,M,288,9,2592,58,5,3,314,T-Shirts,5,277,707980,99,Winter Sale
135,2022-09-04 17:14:00,9699,Dark Blue,One Size,288,7,2016,62,20,4,108,Sweaters,4,277,553327,79,No Holiday
104,2022-09-23 12:15:00,799,Dark Blue,M,275,4,1100,60,20,3,191,Sweaters,4,277,553327,79,No Holiday
95,2022-09-21 13:05:00,799,Dark Blue,L,288,5,1440,25,5,3,272,T-Shirts,5,277,707980,99,No Holiday
40,2022-06-23 17:35:00,127,Dark Wash,One Size,238,1,238,46,0,5,131,Sweaters,4,277,553327,79,No Holiday
245,2022-08-26 14:36:00,799,Dark Blue,L,269,3,807,28,0,3,355,Jackets,1,273,633186,90,Christmas
142,2022-07-29 14:52:00,799,Dark Blue,M,266,6,1596,51,5,1,480,Jeans,2,274,559255,83,No Holiday
134,2022-09-04 14:51:00,3799,Grey Wash,XL,268,10,2680,43,20,1,349,Dresses,0,273,563441,84,EID
253,2022-08-27 19:31:00,3799,Grey Wash,XL,268,2,536,60,5,2,423,Jeans,2,274,559255,83,No Holiday
63,2022-09-15 00:11:00,799,Dark Blue,L,269,8,2152,39,20,3,111,Sweaters,4,277,553327,79,No Holiday
87,2022-09-19 22:28:00,799,Dark Blue,XL,288,3,864,60,5,4,316,Jackets,1,273,633186,90,No Holiday
111,2022-09-26 06:59:00,89,Dark Blue,XL,258,7,1806,45,10,3,481,T-Shirts,5,277,707980,99,No Holiday
204,2022-08-15 19:15:00,77,C,3XL,239,8,1912,20,15,5,147,T-Shirts,5,277,707980,99,EID
49,2022-09-10 06:09:00,708,Dark Blue,4XL,278,6,1668,64,20,4,78,Dresses,0,273,563441,84,Christmas
141,2022-09-06 11:30:00,799,Dark Blue,L,288,9,2592,54,5,2,463,T-Shirts,5,277,707980,99,No Holiday
28,2022-06-18 20:13:00,708,Dark Blue,3XL,278,9,2502,18,0,5,204,Jeans,2,274,559255,83,No Holiday
